year_quarter,samples,distressed,auc,recall,precision,f1,tp,fp,fn,tn
2021Q1,517,114,0.6740673022506638,0.4824561403508772,0.3618421052631579,0.4135338345864662,55,97,59,306
2021Q2,520,283,0.713318721951365,0.8551236749116607,0.6836158192090396,0.7598116169544741,242,112,41,125
2021Q3,521,333,0.7074308350904095,0.7057057057057057,0.7730263157894737,0.7378335949764521,235,69,98,119
2021Q4,521,340,0.683002924926877,0.7205882352941176,0.7538461538461538,0.7368421052631577,245,80,95,101
2022Q1,522,187,0.6039268896160906,0.6470588235294118,0.4129692832764505,0.5041666666666667,121,172,66,163
2022Q2,523,64,0.555317265795207,0.640625,0.148014440433213,0.2404692082111437,41,236,23,223
2022Q3,525,29,0.5984427141268075,0.4827586206896552,0.061946902654867256,0.10980392156862744,14,212,15,284
2022Q4,526,30,0.6218413978494624,0.4666666666666667,0.08139534883720931,0.13861386138613863,14,158,16,338
2023Q1,526,24,0.6355411686586985,0.5,0.06629834254143646,0.1170731707317073,12,169,12,333
2023Q2,526,19,0.4841690023876259,0.47368421052631576,0.036585365853658534,0.06792452830188679,9,237,10,270
2023Q3,525,20,0.4918811881188119,0.55,0.03642384105960265,0.06832298136645963,11,291,9,214
2023Q4,524,20,0.5162698412698412,0.6,0.039473684210526314,0.07407407407407407,12,292,8,212
