feature,importance
cds_spread_lag1,0.055607326
altman_z_score,0.055580743
volatility_12m,0.052654833
cds_spread_lag4,0.04559969
roa,0.045098297
momentum_3m,0.044840652
return_lag1,0.042129584
debt_to_equity,0.041169096
momentum_12m,0.040161315
debt_to_assets,0.038297113
profit_margin,0.03673894
return_1m,0.03658071
volatility_3m,0.034515265
leverage,0.031904638
niq,0.031899095
saleq,0.030867865
return_lag4,0.030683674
ltq,0.03019676
asset_turnover,0.029401002
atq,0.029228522
log_market_cap,0.02845561
seqq,0.027080365
current_ratio,0.02495261
price,0.024337381
cash_ratio,0.02288655
roe,0.0227149
saleq_change,0.02242119
max_drawdown_12m,0.022119401
atq_change,0.021876894
