feature,mean_abs_shap,mean_shap,std_shap
cds_spread_lag1,0.18662941,-0.02217368,0.25268617
altman_z_score,0.08657793,0.007859933,0.09947572
return_1m,0.07669908,0.002244806,0.07939451
volatility_12m,0.074094236,-0.06251215,0.06358995
momentum_12m,0.056763038,-0.03260674,0.05627738
cds_spread_lag4,0.05636167,0.0040400703,0.06170305
debt_to_assets,0.04680655,-0.0024767355,0.07409917
debt_to_equity,0.029010423,0.0031258485,0.042591564
roa,0.024332922,-0.0052518877,0.031547
return_lag1,0.021859365,-0.0035520669,0.03960919
momentum_3m,0.021620993,-0.00057179615,0.031808637
profit_margin,0.020286053,-0.008538946,0.022426335
volatility_3m,0.019388122,0.0042246752,0.026621228
leverage,0.01535713,-0.0023257937,0.0232612
saleq,0.014227706,-0.0040896097,0.020158276
niq,0.012625051,-0.0032964058,0.015642768
cash_ratio,0.012042561,-0.0017312908,0.01585566
return_lag4,0.011692433,-0.010201361,0.013784988
ltq,0.010609112,-0.0041256887,0.016087683
log_market_cap,0.008594268,-0.0038382118,0.012447317
atq,0.007450918,0.00057674217,0.014986664
seqq,0.0074131135,-0.00204913,0.010989308
price,0.0072043673,-0.004288171,0.009131162
saleq_change,0.006812684,-0.0012939947,0.008311883
asset_turnover,0.0063227834,-0.0016070139,0.010319275
atq_change,0.0054367245,-0.002668953,0.007535127
current_ratio,0.005284633,0.0008460369,0.00666606
roe,0.00438769,-6.9639114e-05,0.0056950883
max_drawdown_12m,0.0025703635,-0.0003143798,0.00384733
